Ranked lists according to SVM for the following parameters:
50 images used for training the vocabulary
300 images used for training the SVMs
400 visual words
Key-point sampling
Grayscale

SVM trained to classify airplanes:

airplanes: img020.jpg
airplanes: img026.jpg
airplanes: img021.jpg
airplanes: img025.jpg
airplanes: img037.jpg
airplanes: img031.jpg
airplanes: img005.jpg
airplanes: img023.jpg
airplanes: img048.jpg
airplanes: img013.jpg
airplanes: img030.jpg
airplanes: img010.jpg
faces: img016.jpg
airplanes: img022.jpg
airplanes: img028.jpg
motorbikes: img030.jpg
airplanes: img018.jpg
faces: img009.jpg
airplanes: img011.jpg
airplanes: img042.jpg
airplanes: img017.jpg
airplanes: img038.jpg
airplanes: img041.jpg
airplanes: img043.jpg
airplanes: img035.jpg
airplanes: img032.jpg
airplanes: img012.jpg
airplanes: img027.jpg
motorbikes: img013.jpg
airplanes: img002.jpg
airplanes: img029.jpg
airplanes: img003.jpg
airplanes: img047.jpg
airplanes: img006.jpg
airplanes: img040.jpg
faces: img003.jpg
airplanes: img014.jpg
airplanes: img050.jpg
faces: img017.jpg
motorbikes: img038.jpg
airplanes: img007.jpg
faces: img002.jpg
motorbikes: img005.jpg
cars: img046.jpg
airplanes: img015.jpg
faces: img001.jpg
faces: img021.jpg
motorbikes: img042.jpg
airplanes: img034.jpg
faces: img038.jpg
faces: img004.jpg
cars: img006.jpg
airplanes: img001.jpg
cars: img047.jpg
airplanes: img045.jpg
cars: img025.jpg
airplanes: img044.jpg
airplanes: img024.jpg
airplanes: img039.jpg
airplanes: img004.jpg
faces: img034.jpg
airplanes: img033.jpg
airplanes: img016.jpg
airplanes: img009.jpg
cars: img036.jpg
motorbikes: img018.jpg
cars: img001.jpg
faces: img050.jpg
airplanes: img019.jpg
motorbikes: img004.jpg
faces: img015.jpg
cars: img039.jpg
motorbikes: img032.jpg
faces: img025.jpg
faces: img028.jpg
motorbikes: img035.jpg
faces: img036.jpg
airplanes: img008.jpg
cars: img049.jpg
cars: img038.jpg
cars: img031.jpg
faces: img045.jpg
motorbikes: img050.jpg
cars: img018.jpg
faces: img041.jpg
motorbikes: img047.jpg
cars: img022.jpg
cars: img041.jpg
faces: img010.jpg
cars: img027.jpg
cars: img012.jpg
cars: img017.jpg
faces: img013.jpg
motorbikes: img045.jpg
cars: img020.jpg
motorbikes: img033.jpg
cars: img040.jpg
motorbikes: img034.jpg
motorbikes: img048.jpg
cars: img008.jpg
cars: img005.jpg
airplanes: img036.jpg
cars: img016.jpg
cars: img030.jpg
cars: img011.jpg
cars: img028.jpg
cars: img035.jpg
cars: img021.jpg
motorbikes: img016.jpg
cars: img015.jpg
faces: img037.jpg
cars: img044.jpg
cars: img002.jpg
cars: img033.jpg
faces: img019.jpg
faces: img032.jpg
cars: img014.jpg
motorbikes: img010.jpg
cars: img045.jpg
cars: img023.jpg
cars: img013.jpg
motorbikes: img037.jpg
cars: img037.jpg
cars: img009.jpg
cars: img003.jpg
cars: img029.jpg
airplanes: img046.jpg
cars: img007.jpg
faces: img012.jpg
faces: img006.jpg
motorbikes: img017.jpg
motorbikes: img015.jpg
cars: img043.jpg
faces: img030.jpg
cars: img034.jpg
cars: img024.jpg
cars: img048.jpg
motorbikes: img020.jpg
cars: img010.jpg
faces: img008.jpg
faces: img022.jpg
motorbikes: img021.jpg
motorbikes: img007.jpg
faces: img042.jpg
faces: img048.jpg
faces: img035.jpg
faces: img043.jpg
faces: img023.jpg
cars: img042.jpg
motorbikes: img029.jpg
faces: img046.jpg
airplanes: img049.jpg
faces: img007.jpg
faces: img020.jpg
faces: img039.jpg
motorbikes: img049.jpg
faces: img026.jpg
motorbikes: img028.jpg
faces: img024.jpg
faces: img018.jpg
faces: img029.jpg
motorbikes: img022.jpg
motorbikes: img009.jpg
faces: img047.jpg
motorbikes: img019.jpg
motorbikes: img024.jpg
motorbikes: img025.jpg
cars: img026.jpg
motorbikes: img031.jpg
motorbikes: img014.jpg
faces: img049.jpg
cars: img032.jpg
cars: img050.jpg
cars: img019.jpg
motorbikes: img011.jpg
faces: img044.jpg
faces: img011.jpg
motorbikes: img003.jpg
cars: img004.jpg
faces: img014.jpg
faces: img005.jpg
motorbikes: img036.jpg
faces: img027.jpg
motorbikes: img027.jpg
motorbikes: img026.jpg
motorbikes: img039.jpg
motorbikes: img041.jpg
motorbikes: img002.jpg
motorbikes: img012.jpg
motorbikes: img046.jpg
faces: img040.jpg
faces: img033.jpg
motorbikes: img044.jpg
motorbikes: img006.jpg
motorbikes: img043.jpg
motorbikes: img040.jpg
faces: img031.jpg
motorbikes: img023.jpg
motorbikes: img001.jpg
motorbikes: img008.jpg

SVM trained to classify cars:

cars: img024.jpg
cars: img037.jpg
cars: img035.jpg
cars: img014.jpg
cars: img046.jpg
cars: img047.jpg
cars: img006.jpg
cars: img012.jpg
cars: img018.jpg
cars: img026.jpg
cars: img011.jpg
cars: img038.jpg
airplanes: img029.jpg
airplanes: img008.jpg
motorbikes: img016.jpg
cars: img002.jpg
cars: img049.jpg
cars: img048.jpg
cars: img007.jpg
faces: img006.jpg
cars: img039.jpg
airplanes: img023.jpg
motorbikes: img005.jpg
cars: img010.jpg
cars: img005.jpg
cars: img036.jpg
cars: img021.jpg
cars: img050.jpg
airplanes: img030.jpg
cars: img041.jpg
motorbikes: img007.jpg
cars: img033.jpg
cars: img030.jpg
faces: img019.jpg
cars: img009.jpg
motorbikes: img047.jpg
cars: img043.jpg
faces: img008.jpg
cars: img029.jpg
cars: img032.jpg
faces: img011.jpg
cars: img013.jpg
airplanes: img028.jpg
airplanes: img032.jpg
cars: img015.jpg
airplanes: img049.jpg
cars: img001.jpg
cars: img023.jpg
cars: img019.jpg
airplanes: img045.jpg
cars: img028.jpg
cars: img004.jpg
motorbikes: img012.jpg
cars: img034.jpg
cars: img016.jpg
faces: img029.jpg
motorbikes: img049.jpg
airplanes: img010.jpg
motorbikes: img026.jpg
faces: img007.jpg
faces: img043.jpg
airplanes: img011.jpg
motorbikes: img022.jpg
motorbikes: img048.jpg
motorbikes: img050.jpg
motorbikes: img029.jpg
cars: img020.jpg
motorbikes: img006.jpg
cars: img022.jpg
airplanes: img036.jpg
airplanes: img046.jpg
motorbikes: img021.jpg
faces: img047.jpg
cars: img027.jpg
faces: img005.jpg
cars: img008.jpg
cars: img044.jpg
motorbikes: img042.jpg
motorbikes: img034.jpg
faces: img049.jpg
motorbikes: img039.jpg
airplanes: img015.jpg
airplanes: img042.jpg
cars: img003.jpg
motorbikes: img003.jpg
faces: img033.jpg
airplanes: img005.jpg
cars: img042.jpg
cars: img045.jpg
motorbikes: img014.jpg
faces: img023.jpg
motorbikes: img019.jpg
airplanes: img017.jpg
airplanes: img007.jpg
motorbikes: img008.jpg
airplanes: img002.jpg
motorbikes: img011.jpg
motorbikes: img017.jpg
cars: img040.jpg
faces: img013.jpg
airplanes: img027.jpg
motorbikes: img025.jpg
faces: img031.jpg
motorbikes: img002.jpg
faces: img024.jpg
motorbikes: img033.jpg
motorbikes: img027.jpg
airplanes: img048.jpg
airplanes: img004.jpg
faces: img014.jpg
motorbikes: img046.jpg
cars: img031.jpg
airplanes: img012.jpg
faces: img012.jpg
faces: img041.jpg
faces: img026.jpg
motorbikes: img041.jpg
airplanes: img033.jpg
airplanes: img044.jpg
airplanes: img026.jpg
motorbikes: img018.jpg
motorbikes: img043.jpg
faces: img042.jpg
cars: img025.jpg
cars: img017.jpg
motorbikes: img044.jpg
faces: img020.jpg
motorbikes: img035.jpg
faces: img038.jpg
motorbikes: img009.jpg
faces: img036.jpg
motorbikes: img036.jpg
faces: img044.jpg
motorbikes: img038.jpg
faces: img030.jpg
faces: img046.jpg
faces: img040.jpg
airplanes: img016.jpg
motorbikes: img037.jpg
motorbikes: img023.jpg
airplanes: img047.jpg
faces: img022.jpg
airplanes: img001.jpg
faces: img035.jpg
faces: img039.jpg
motorbikes: img030.jpg
airplanes: img003.jpg
faces: img018.jpg
faces: img027.jpg
airplanes: img024.jpg
airplanes: img019.jpg
faces: img048.jpg
motorbikes: img032.jpg
motorbikes: img024.jpg
motorbikes: img040.jpg
motorbikes: img020.jpg
airplanes: img039.jpg
faces: img028.jpg
airplanes: img043.jpg
motorbikes: img031.jpg
faces: img037.jpg
airplanes: img034.jpg
faces: img015.jpg
